Class,Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent
0,0.6759373349762365,0.8792316337413122,0.9012158717654069,0.5324173883610126,0.8880105461624961,0.6939170182841069,0.20757715654525288
0,0.6253300475268437,0.7140949077353511,0.6480871586362704,0.6706631298048675,0.6919798765705281,0.6460091420534458,0.32456422596930157
0,0.6233937687026931,0.7500661214807538,0.734349109825611,0.5881244713677478,0.7898463518780021,0.6356364275668073,0.5385759368713439
0,0.4950712902657983,0.5241356701575262,0.5127995325323009,0.5814614305538617,0.6712268046202627,0.4962201125175808,0.3939541808457925
0,0.6281464530892449,0.7819917159978846,0.7091384075497988,0.6202878778789478,0.758066508953557,0.6627109704641351,0.4086800918763096
0,0.5217391304347825,0.6227541059384585,0.58443635310088,0.5648377563307747,0.7266650099577046,0.5329641350210971,0.44133181637654406
0,0.7222320014082027,0.7931565355341914,0.6617049224088258,0.8082419156262202,0.603667283511534,0.7407700421940927,0.25381166536711275
0,0.7792642140468227,0.8844655861264319,0.8144136958920789,0.7478497752779085,0.7336465723226748,0.8011603375527426,0.44405702782793965
0,0.61459250132019,0.6577429664231818,0.5481442899601869,0.739809281203158,0.5750042406630369,0.6337025316455697,0.41865548695083343
0,0.5222672064777327,0.5939920273853336,0.5654445012321483,0.5872704757720066,0.7000859999483433,0.5283931082981715,0.20599408832694555
0,0.6494455201549023,0.7437442471088271,0.7144980093558646,0.6349728200089866,0.751716334196356,0.6614803094233473,0.3491393193462313
0,0.622689667312093,0.7261099181576438,0.6322365529791301,0.6965722183663878,0.6644965408056489,0.6458333333333334,0.2002042023593258
0,0.7371061432846329,0.8642379735059569,0.8583999322888023,0.6566268683636665,0.8069161549367241,0.748681434599156,0.7764784059037397
0,0.5742826967083259,0.6368078015772127,0.5784211245918611,0.6493969867812639,0.6640710783988641,0.5899261603375526,0.780465580723612
0,0.5235873965851081,0.6222207824044816,0.6110361115541998,0.5389094393607905,0.7584410135987412,0.5341947960618846,0.6057983110770029
0,0.5983101566625593,0.7280112834433261,0.7283460888644375,0.5546416146460087,0.8066540365876715,0.6113748241912799,0.4659162527736067
0,0.6740010561520859,0.7259990307018032,0.7337442665216953,0.6559859743856937,0.7485901104247699,0.6744022503516175,0.19788074077364493
0,0.6765534236930117,0.7276151186665012,0.6748799591128531,0.7143503916596381,0.6782184887324005,0.6824894514767933,0.6459788706780134
0,0.5243795106495335,0.6409747845471241,0.6600033530064751,0.5083885521048155,0.8020992503624615,0.5282172995780591,0.27011048203263477
0,0.5411019186762893,0.6423637788704277,0.5622259405508696,0.6335480108330629,0.665135956006,0.5674226441631506,0.4802427087152841
0,0.5606407322654461,0.649039429355101,0.6206172461725268,0.5955714273795851,0.7265763574135518,0.5702355836849508,0.1757736799255052
0,0.6032388663967612,0.6820160370983008,0.6311271310309354,0.6476572130964535,0.6976135014334481,0.6170007032348804,0.7325249052953782
0,0.5127618377046295,0.6013383213347625,0.5832387112735888,0.5655163125633416,0.7255212525278187,0.5240857946554148,0.8178983089297474
0,0.6593909522971306,0.7351569162263001,0.6479979621533458,0.7338939235448287,0.6481247892756938,0.6760724331926863,0.2460443373839971
0,0.6195212110543917,0.7239234367246037,0.7129505805909757,0.6054983713458575,0.7690573302740056,0.629395218002813,0.20369685276269012
0,0.500440063369125,0.5645907342248493,0.5615206698200115,0.5452435313687249,0.7268105537014522,0.5029887482419128,0.26126542848155765
0,0.7635099454321421,0.8719752746761258,0.7638594732198956,0.7731980617446441,0.6907670120392941,0.7933368495077356,0.4158327474822612
0,0.497447632459074,0.5828800727989041,0.5768499318004994,0.538578265780306,0.7400222259606748,0.5017580872011252,0.28639946394012217
0,0.508449216687203,0.6017767136020389,0.5987922665998233,0.5358503743779073,0.7538719173171913,0.5155590717299577,0.7773876292840411
0,0.6507657102622777,0.7077414433324001,0.6057058078629629,0.7404077455525366,0.6155746464892538,0.6710618846694797,0.6671086844027785
0,0.49102270726984676,0.5747256542803121,0.5427679231217468,0.5556068489683998,0.7085872204914416,0.5044831223628691,0.21286481420257086
0,0.5160183066361554,0.6379908160043479,0.6167887964008887,0.5458122790868414,0.7570452595669703,0.5284810126582279,0.5957306331895875
0,0.7527723992254884,0.7833753915914752,0.6486277088548664,0.8585958732816101,0.5568276769054528,0.7677566807313642,0.29700166092671965
